[2021-01-11 16:54:09,459]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:11,805]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:14,168]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:16,569]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:18,961]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:21,302]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:23,621]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:25,976]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:28,323]-[util.py]-[CRITICAL]:确认完成
[2021-01-11 16:54:52,166]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:01,322]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:12,064]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:14,828]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:24,818]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:27,723]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:32,565]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:55:36,245]-[util.py]-[CRITICAL]:退出登陆
[2021-01-11 16:59:17,779]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:18,872]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:20,157]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:20,188]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:21,246]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:22,550]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:22,580]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:23,642]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:24,896]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:24,927]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:25,983]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:27,228]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:27,254]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:28,305]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:29,561]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:29,591]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:30,650]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:31,892]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:31,917]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:32,972]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:34,221]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:34,245]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:35,298]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:36,542]-[util.py]-[INFO]:登陆完毕
[2021-01-11 16:59:36,570]-[util.py]-[WARNING]:断言成功
[2021-01-11 16:59:37,626]-[util.py]-[INFO]:确认完成
[2021-01-11 16:59:38,876]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:00,313]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:00,401]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:01,481]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:12,587]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:13,857]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:13,907]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:15,077]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:16,347]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:16,446]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:17,529]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:19,496]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:19,571]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:20,664]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:21,937]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:22,056]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:23,152]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:24,581]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:24,624]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:25,797]-[util.py]-[INFO]:退出登陆
[2021-01-11 17:00:28,165]-[util.py]-[INFO]:登陆完毕
[2021-01-11 17:00:28,208]-[util.py]-[WARNING]:断言成功
[2021-01-11 17:00:29,375]-[util.py]-[INFO]:退出登陆
[2021-01-12 10:34:11,688]-[util.py]-[INFO]:登陆完毕
